Product Id,Product Handle,Product Title,Product Status,Product Thumbnail,Product Sales Channel 1,Variant Id
prod_01KJM4CKFH4D5ENNJ8NR7FT8QX,shorts,Spinning Rod Alpha 2.10m,published,,sc_01KJM4464HHY75922624VPKCJF,variant_01KJM4CKHW78TQZBNQHDA7JPTF
prod_01KJM4CKFH4D5ENNJ8NR7FT8QX,shorts,Spinning Rod Alpha 2.10m,published,,sc_01KJM4464HHY75922624VPKCJF,variant_01KJM4CKHWAYGCDPPENC9Z5P5H
prod_01KJM4CKFH4D5ENNJ8NR7FT8QX,shorts,Spinning Rod Alpha 2.10m,published,,sc_01KJM4464HHY75922624VPKCJF,variant_01KJM4CKHWME0ZA65D25WQTR4G
prod_01KJM4CKFH4D5ENNJ8NR7FT8QX,shorts,Spinning Rod Alpha 2.10m,published,,sc_01KJM4464HHY75922624VPKCJF,variant_01KJM4CKHWXDV3A7Z1HX8RJ4Q8
prod_01KJM4CKFHEMXXMQ1CN89W6R7Z,t-shirt,Spinning Rod Pro Carbon 2.40m,published,,sc_01KJM4464HHY75922624VPKCJF,variant_01KJM4CKHT7DZVWPA90M7V1GAN
prod_01KJM4CKFHEMXXMQ1CN89W6R7Z,t-shirt,Spinning Rod Pro Carbon 2.40m,published,,sc_01KJM4464HHY75922624VPKCJF,variant_01KJM4CKHTC6ASX1EZBCPTC9JS
prod_01KJM4CKFHEMXXMQ1CN89W6R7Z,t-shirt,Spinning Rod Pro Carbon 2.40m,published,,sc_01KJM4464HHY75922624VPKCJF,variant_01KJM4CKHV31QZKV176R4CSWNT
prod_01KJM4CKFHEMXXMQ1CN89W6R7Z,t-shirt,Spinning Rod Pro Carbon 2.40m,published,,sc_01KJM4464HHY75922624VPKCJF,variant_01KJM4CKHVGS9H6K1KWZ1GJG1D
prod_01KJM4CKFHEMXXMQ1CN89W6R7Z,t-shirt,Spinning Rod Pro Carbon 2.40m,published,,sc_01KJM4464HHY75922624VPKCJF,variant_01KJM4CKHVH3J9D7XMJ2X33NBS
prod_01KJM4CKFHEMXXMQ1CN89W6R7Z,t-shirt,Spinning Rod Pro Carbon 2.40m,published,,sc_01KJM4464HHY75922624VPKCJF,variant_01KJM4CKHVH85RAA8T6F4QCM0X
prod_01KJM4CKFHEMXXMQ1CN89W6R7Z,t-shirt,Spinning Rod Pro Carbon 2.40m,published,,sc_01KJM4464HHY75922624VPKCJF,variant_01KJM4CKHVHAXKQXFPV987VV7J
prod_01KJM4CKFHEMXXMQ1CN89W6R7Z,t-shirt,Spinning Rod Pro Carbon 2.40m,published,,sc_01KJM4464HHY75922624VPKCJF,variant_01KJM4CKHVWZ7QZ6054B8EQYZ2
prod_01KJM4CKFHJEGF15J6KCK9H8W4,sweatpants,Ultra Light Spinning Rod 1.98m,published,,sc_01KJM4464HHY75922624VPKCJF,variant_01KJM4CKHWJARKYTQ5HNR2KB25
prod_01KJM4CKFHJEGF15J6KCK9H8W4,sweatpants,Ultra Light Spinning Rod 1.98m,published,,sc_01KJM4464HHY75922624VPKCJF,variant_01KJM4CKHWR085C80K64FCPG58
prod_01KJM4CKFHJEGF15J6KCK9H8W4,sweatpants,Ultra Light Spinning Rod 1.98m,published,,sc_01KJM4464HHY75922624VPKCJF,variant_01KJM4CKHWV2T4V63SBCC9CQQZ
prod_01KJM4CKFHJEGF15J6KCK9H8W4,sweatpants,Ultra Light Spinning Rod 1.98m,published,,sc_01KJM4464HHY75922624VPKCJF,variant_01KJM4CKHWW59JR1HW3MDPVKJM
prod_01KJM4CKFHKEV1ACC65A9FHVJM,sweatshirt,Saltwater Spinning Rod X Series,published,,sc_01KJM4464HHY75922624VPKCJF,variant_01KJM4CKHVP8XVYJRVYYEZ3C2W
prod_01KJM4CKFHKEV1ACC65A9FHVJM,sweatshirt,Saltwater Spinning Rod X Series,published,,sc_01KJM4464HHY75922624VPKCJF,variant_01KJM4CKHVWT407VZEMY7GTZVJ
prod_01KJM4CKFHKEV1ACC65A9FHVJM,sweatshirt,Saltwater Spinning Rod X Series,published,,sc_01KJM4464HHY75922624VPKCJF,variant_01KJM4CKHW2634KRJDDWX1TV6V
prod_01KJM4CKFHKEV1ACC65A9FHVJM,sweatshirt,Saltwater Spinning Rod X Series,published,,sc_01KJM4464HHY75922624VPKCJF,variant_01KJM4CKHWR2GYC7CE00ETZV8A
prod_01KK72FM5CJJFDDNQB2DGD8ZA5,,Продукта,published,"http://localhost:9000/static/1772985241712-ChatGPT%20Image%20Feb%207,%202026,%2008_10_41%20PM.png",sc_01KJM4464HHY75922624VPKCJF,variant_01KK72FM9KVVF4ZQJKTKYA5TA1
prod_01KKBMSS4SJ35SZQQDK9T4TRTJ,shimano-fx-xt-240-spinning-rod,Спининг въдица Shimano FX XT 2.40 m,published,http://localhost:9000/static/1773138666622-VerusPerformanceDual-tipSpinningRodWithExtraTip_2%20(1).jpg,sc_01KJM4464HHY75922624VPKCJF,variant_01KKBMSS7JKTFZG1FV6VGCCQ83
